RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
3197,24/04/2020 19:16,week 4,2,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0799786,Female,22,South-East,3,0,Part time employment,6, , , , 
3198,24/04/2020 19:19,week 4,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Not at all,Sometimes,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Rarely,Rarely,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.034986666,Female,55,Paris Area,3,0,Not working,7, , , , 
3199,24/04/2020 19:24,week 4,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Not at all,Always,Not at all,Always,Not at all,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,AIDE A LA PERSONNE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.006232145,Female,55,North-West,2,0,Full time employment,7, , , , 
3200,24/04/2020 19:25,week 4,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat unwilling,Not at all,Always,Rarely,Frequently,Frequently,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Frequently,Sometimes,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,secretaire,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.038351674,Female,55,North-West,2,1,Full time employment,7, , , , 
3201,24/04/2020 19:28,week 4,1,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Frequently,Frequently,Not at all,Always,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.927951552,Female,29,North-East,2,2,Unemployed,4, , , , 
3202,24/04/2020 19:28,week 4,2,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Always,Frequently,Always,Always,Frequently,Always,Always, ,Always,Rarely,Sometimes,Always,Always,Frequently,Rarely,Not at all,Not at all,Always,Sometimes,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.081376364,Female,22,North-East,3,1,Not working,4, , , , 
3203,24/04/2020 19:29,week 4,1,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Always,Frequently,Always,Rarely,Frequently,Not at all,Always,Not at all, ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Always,15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.962952052,Female,30,North-East,2,0,Full time employment,7, , , , 
3204,24/04/2020 19:30,week 4,6,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.941726474,Female,49,Paris Area,6,2,Full time employment,5, , , , 
3205,24/04/2020 19:32,week 4,1,120,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Not at all,Always,Always, ,Always,Sometimes,Frequently,Always,Frequently,Sometimes,Rarely,Sometimes,Frequently,Frequently,5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1.060656369,Male,66,North-West,2,0,Full time employment,7, , , , 
3206,24/04/2020 19:33,week 4,4,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.084808308,Female,23,North-West,4,0,Full time student,8, , , , 
3207,24/04/2020 19:33,week 4,3,50,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Rarely,Always,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,25,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.950096182,Female,48,North-West,5,0,Full time employment,8, , , , 
3208,24/04/2020 19:35,week 4,1,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always, , ,Always,Frequently,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.006232145,Female,69,North-West,2,0,Retired,8, , , , 
3209,24/04/2020 19:36,week 4,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.005340675,Male,36,South-West,3,1,Full time employment,8, , , , 
3210,24/04/2020 19:37,week 4,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.945866229,Female,52,South-East,4,1,Full time employment,5, , , , 
3211,24/04/2020 19:39,week 4,1,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.001752269,Female,68,South-East,2,0,Retired,7, , , , 
3212,24/04/2020 19:40,week 4,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Rarely,Not at all,Always,Frequently,Frequently,Always,Rarely,Always,Frequently,Sometimes,Always,Always,Frequently,Frequently,Not at all,Not at all,Rarely,Frequently,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Travaux publics,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.975764174,Male,33,North-West,4,2,Full time employment,6, , , , 
3213,24/04/2020 19:41,week 4,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always, ,Not at all,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0.997367918,Female,67,Paris Area,3,1,Retired,7, , , , 
3214,24/04/2020 19:41,week 4,1,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,1.008684014,Female,76,North-East,2,0,Retired,8, , , , 
3215,24/04/2020 19:42,week 4,1,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all, , ,Always,Always,Always,Always,Not at all,Always,Always,Not at all,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.921574606,Female,25,South-East,Prefer not to say,0,Unemployed,6, , , , 
3216,24/04/2020 19:42,week 4,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Frequently,Always,Always,Always,Not at all,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.93227131,Male,51,North-East,5,1,Other,5, , , , 
3217,24/04/2020 19:43,week 4,5,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.956581409,Male,49,Paris Area,5,3,Full time employment,3, , , , 
3218,24/04/2020 19:47,week 4,0,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Not sure,Always,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,20,No,No,No,No,No,No,No,No,No,No,Yes,No,No,services,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.944788269,Female,51,North-West,1,1,Full time employment,7, , , , 
3219,24/04/2020 19:48,week 4,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Rarely,Not at all,Not at all,Frequently,Sometimes,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.069558371,Female,24,South-West,2,0,Full time employment,7, , , , 
3220,24/04/2020 19:51,week 4,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,7,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.952411264,Female,50,North-East,2,1,Full time employment,8, , , , 
3221,24/04/2020 19:54,week 4,5,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Always,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.000664469,Female,40,North-East,6,3,Full time employment,7, , , , 
3222,24/04/2020 19:56,week 4,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.013100549,Male,68,Paris Area,3,0,Retired,8, , , , 
3223,24/04/2020 19:56,week 4,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Rarely,Rarely,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,1.008684014,Female,61,North-East,2,0,Not working,7, , , , 
3224,24/04/2020 19:57,week 4,6,100,1,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Sometimes,Always,Not at all,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Always,Always,50,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Police,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.957572317,Female,33,North-East,4,2,Full time employment,7, , , , 
3225,24/04/2020 19:57,week 4,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Sometimes,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1.000664469,Female,39,North-East,4,2,Full time employment,8, , , , 
3226,24/04/2020 19:59,week 4,3,5,0,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat willing,Sometimes,Always,Not at all,Sometimes,Always,Always,Frequently,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,30,No,No,No,No,No,No,No,No,No,No,Yes,No,No,restauration scolaire,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.998232094,Female,39,North-West,4,2,Full time employment,7, , , , 
3227,24/04/2020 20:00,week 4,2,30,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Very willing,Sometimes,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Not at all,Rarely,Sometimes,Not at all,50,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0.962952052,Female,29,North-East,3,1,Full time employment,7, , , , 
3228,24/04/2020 20:02,week 4,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Always,Always,Not at all,Always,Always,Always,Always,Always,Sometimes, ,Always,Always,Always,Always,Always,Rarely,Always,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.057300832,Male,57,North-East,2,0,Full time employment,8, , , , 
3229,24/04/2020 20:02,week 4,3,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat unwilling,Not at all,Not at all,Not at all,Always,Sometimes,Rarely,Not at all,Always,Frequently,Always,Always,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Fonction publique,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.000664469,Female,37,North-East,4,2,Full time employment,5, , , , 
3230,24/04/2020 20:03,week 4,50,48,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Sometimes,Frequently,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.950096182,Female,51,North-West,3,3,Full time employment,8, , , , 
3231,24/04/2020 20:03,week 4,1,1,1, , ,No,No,No,Yes,No,No,No,Sometimes, ,Yes,Not sure,Very difficult,Neither willing nor unwilling,Always,Sometimes,Frequently,Rarely,Rarely,Sometimes,Sometimes,Always, , ,Frequently,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Frequently,Always,Sometimes,1, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.097014344,Male,24,South-East,1,0,Full time student,7, , , , 
3232,24/04/2020 20:04,week 4,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Always,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.000664469,Female,43,North-East,4,4,Part time employment,7, , , , 
3233,24/04/2020 20:05,week 4,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Not at all,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Always,Sometimes,Frequently,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.960611347,Female,34,North-West,3,1,Full time employment,8, , , , 
3234,24/04/2020 20:07,week 4,0,6,0,"No, I have not","No, they have not", , , , , , , , , , ,Yes,Somewhat difficult,Very willing,Sometimes,Frequently,Frequently,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Always,4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Hôtellerie,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.96176506,Male,28,Paris Area,1,1,Part time employment,7, , , , 
3235,24/04/2020 20:10,week 4,0,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,0.915562955,Female,53,North-West,2,2,Other,4, , , , 
3236,24/04/2020 20:11,week 4,4,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Always,Frequently,Frequently,Always,Always,Always,Always, ,Always,Always,Sometimes,Sometimes,Always,Always,Rarely,Not at all,Not at all,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.092533413,Male,18,South-West,4,2,Full time student,6, , , , 
3237,24/04/2020 20:12,week 4,4,30,1,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes,Not at all,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Not at all,Always,20,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.998232094,Female,38,North-West,4,2,Full time employment,5, , , , 
3238,24/04/2020 20:12,week 4,6,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,25, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.944788269,Female,46,North-West,6,1,Unemployed,6, , , , 
3239,24/04/2020 20:13,week 4,2,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Rarely,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Trésorerie des hopitaux,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.003840259,Female,40,North-West,3,1,Part time employment,8, , , , 
3240,24/04/2020 20:13,week 4,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Not at all,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Rarely,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1.017554059,Male,76,South-East,2,0,Retired,7, , , , 
3241,24/04/2020 20:14,week 4,1,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Sometimes,Not at all,Always,Frequently,Always,Always, ,Always,Always,Not at all,Sometimes,Always,Rarely,Frequently,Not at all,Not at all,Not at all,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.969710726,Female,43,North-East,2,1,Unemployed,7, , , , 
3242,24/04/2020 20:15,week 4,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.967168349,Male,28,Paris Area,1,0,Part time employment,5, , , , 
3243,24/04/2020 20:17,week 4,1,200,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Yes,Not at all,No,Yes,No,Somewhat easy,Somewhat willing,Not at all,Always,Always,Always,Not at all,Frequently,Not at all,Always,Not at all, ,Always,Rarely,Always,Rarely,Always,Frequently,Not at all,Rarely,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.957572317,Female,30,North-East,2,0,Full time employment,5, , , , 
3244,24/04/2020 20:18,week 4,2,5,1,"No, I have not", , , , , , , , , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Always,Frequently,Sometimes,Frequently,Not at all,Always,Not at all, ,Always,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Frequently,Frequently,8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.951237265,Male,53,Paris Area,Prefer not to say,0,Full time employment,7, , , , 
3245,24/04/2020 20:20,week 4,0,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Not at all,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always, ,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.994997103,Female,43,Paris Area,1,0,Full time employment,5, , , , 
3246,24/04/2020 20:21,week 4,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Not at all,Sometimes,Sometimes,Rarely,Rarely,Rarely,Not at all,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Laboratoire,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.950991816,Female,30,South-East,3,1,Full time employment,5, , , , 
3247,24/04/2020 20:21,week 4,5,0,0,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,No,Always,No,No,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.927951552,Female,34,North-East,6,4,Not working,6, , , , 
3248,24/04/2020 20:22,week 4,3,0,0,"Yes, and I tested negative","No, they have not",No,No,No,No,Yes,No,No,Always,No,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.090885643,Male,24,South-East,4,1,Full time student,6, , , , 
3249,24/04/2020 20:24,week 4,2,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Frequently,Not at all,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.950991816,Female,29,South-East,3,1,Full time employment,6, , , , 
3250,24/04/2020 20:24,week 4,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Always,Frequently,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Frequently,Frequently,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.95633458,Female,29,South-East,4,2,Unemployed,7, , , , 
3251,25/04/2020 12:15,week 4,3,1,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Always,No,No,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Always,Frequently,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Rarely,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.999371032,Female,41,South-East,4,4,Full time employment,5, , , , 
