RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,i12_health_21_ph,i12_health_22_ph,i12_health_23_ph,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
2122,13/05/2020 23:56,week 3,4,1,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Rarely,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.282059588,Female,25,Davao Region,3,0,Part time employment,4,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2123,13/05/2020 23:56,week 3,1,5,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.142979412,Male,27,National Capital Region (NCR),5,0,Part time employment,5,Several days,Nearly every day,Not at all,Prefer not to say,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2124,13/05/2020 23:57,week 3,1,0,1, , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,30,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, ,Not sure, , , , , , , ,1.142979412,Male,27,Ilocos Region,Prefer not to say,Prefer not to say,Full time employment,5,Several days,Not at all,Several days,Not at all,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2125,13/05/2020 23:57,week 3,4,0,0, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Always,Rarely,Always,Frequently,Not at all,Frequently,Always,Always,Always,Frequently,Always,Not at all,Not at all,Always,Not at all,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.578515643,Female,54,National Capital Region (NCR),8 or more,2,Part time employment,8,Not at all,Not at all,Several days,Nearly every day,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2126,13/05/2020 23:58,week 3,4,4,2,No,Always,No,No,Not sure,Not sure,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Always,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,Yes,No,No,No,No,1.342268976,Female,26,Western Visayas,5,4,Part time employment,6,Not at all,Not at all,Not at all,Several days,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2127,13/05/2020 23:58,week 3,5,5,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Frequently,Always,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.871507655,Male,31,Davao Region,6,1,Full time employment,7,More than half the days,Several days,Several days,Not at all,Always,Frequently,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2128,13/05/2020 23:59,week 3,30,12,0, , , ,No,Not sure,Not sure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure, , , , , , , ,1.148183696,Male,21,Davao Region,Prefer not to say,Prefer not to say,Part time employment,4,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2129,14/05/2020 00:02,week 3,3,2,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Sometimes,Frequently,Sometimes,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.282059588,Female,33,Northern Mindanao,4,2,Not working,7,Not at all,Not at all,Not at all,Not at all,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2130,14/05/2020 00:02,week 3,4,15,2, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Always,Always,Rarely, ,Frequently,Sometimes,Frequently,Always,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.53053745,Male,41,Ilocos Region,5,0,Full time employment,5,Several days,Several days,Not at all,Several days,Sometimes,Frequently,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2131,14/05/2020 00:02,week 3,6,5,3, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.595094379,Female,36,Northern Mindanao,6,2,Full time employment,7,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2132,14/05/2020 00:03,week 3,4,3,2, , , ,Yes,Very easy,Neither willing nor unwilling,Always,Frequently,Sometimes,Always,Always,Sometimes,Frequently,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Always,Sometimes,Always,Frequently,Frequently,Frequently,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,pagbibinta ng mga essential goods,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.313936811,Male,52,Central Visayas,5,2,Part time employment,7,Prefer not to say,Several days,Prefer not to say,Several days,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2133,14/05/2020 00:04,week 3,4,2,3,Yes,Not at all,No,No,Neither easy nor difficult,Very unwilling,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",Yes,No,No,No,No,No,Yes,1.202105869,Male,20,Central Visayas,7,4,Part time employment,2,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2134,14/05/2020 00:05,week 3,3,3,2, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Always,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.461826922,Female,52,Eastern Visayas,4,0,Full time employment,8,Nearly every day,Several days,Several days,Several days,Frequently,Frequently,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2135,14/05/2020 00:05,week 3,4,4,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.578515643,Female,51,National Capital Region (NCR),6,2,Part time employment,5,Several days,Several days,Several days,Not at all,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2136,14/05/2020 00:07,week 3,6,4,2, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.871507655,Male,26,Northern Mindanao,2,2,Unemployed,4,Several days,More than half the days,Several days,Several days,Sometimes,Sometimes,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2137,14/05/2020 06:39,week 3,6,2,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Not at all,Sometimes,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.780464314,Female,37,National Capital Region (NCR),7,3,Full time employment,8,Several days,Not at all,Several days,Several days,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2138,14/05/2020 00:10,week 3,7,1,1, , , ,No,Somewhat difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,12,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.578515643,Female,50,Calabarzon,7,0,Full time employment,8,Several days,Several days,Several days,Several days,Frequently,Frequently,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2139,14/05/2020 00:11,week 3,5,2,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Frequently,Sometimes,Always,Always,Frequently,Always,Always,Always,Frequently,Sometimes,Frequently,Frequently,Always,Sometimes,Always,Always,Frequently,5,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.313936811,Male,46,Central Visayas,3,1,Full time employment,4,Not at all,Several days,Not at all,Nearly every day,Frequently,Frequently,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2140,14/05/2020 00:11,week 3,2,0,0, , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Always,Always,Always,Not at all,Sometimes,Sometimes,Frequently, ,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Sometimes,Frequently,Always,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.505839127,Male,18,Calabarzon,3,2,Unemployed,3,Several days,Several days,Not at all,Not at all,Sometimes,Sometimes,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2141,14/05/2020 00:12,week 3,2,2,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently, ,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Always,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.142979412,Male,30,Calabarzon,3,0,Part time employment,5,Several days,Several days,Several days,Several days,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2142,14/05/2020 00:13,week 3,4,3,1, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.595094379,Female,40,Northern Mindanao,5,3,Full time employment,6,Several days,Nearly every day,Several days,Nearly every day,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2143,14/05/2020 00:13,week 3,6,3,2, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Sometimes,Frequently, ,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.461826922,Female,50,Western Visayas,3,1,Other,3,Nearly every day,Several days,More than half the days,More than half the days,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2144,14/05/2020 00:13,week 3,4,7,0, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Sometimes,Always,Always,Always,Frequently,Sometimes,Rarely,Sometimes,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.578515643,Female,46,Ilocos Region,4,2,Not working,6,Not at all,Several days,Not at all,Not at all,Always,Always,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2145,14/05/2020 00:14,week 3,3,5,1, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Frequently,Always,Always,Rarely,Not at all,Frequently,Always,Always,50, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.780464314,Female,36,National Capital Region (NCR),3,1,Other,7,Not at all,Several days,Not at all,Nearly every day,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2146,14/05/2020 00:14,week 3,5,6,2, , , ,Yes,Somewhat easy,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Rarely,Always,Always, ,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Rarely,Sometimes,Always,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.282059588,Female,32,Zamboanga Peninsula,5,3,Retired,5,Several days,Nearly every day,Prefer not to say,Nearly every day,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2147,14/05/2020 00:14,week 3,2,3,2,Not sure,Frequently,No,Yes,Very easy,Somewhat willing,Not at all,Rarely,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently, ,Rarely,Sometimes,Sometimes,Always,Always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Yes, and I have not received my results from the test yet",Not sure,No,No,No,Yes,No,No, ,1.202105869,Male,20,Western Visayas,5,4,Full time student,10,Nearly every day,More than half the days,Several days,Nearly every day,Sometimes,Sometimes,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2148,14/05/2020 00:15,week 3,2,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Frequently,Always,Always,Always, ,Frequently,Sometimes,Always,Always,Always,Always,Always,Not at all,Sometimes,Always,Frequently,9, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.564576347,Male,75,Calabarzon,3,2,Full time student,7,Several days,Not at all,Not at all,Not at all,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2149,14/05/2020 00:15,week 3,4,1,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,Sometimes,Always,Always,Always,Always,Frequently,Always,Rarely,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.342268976,Female,32,Eastern Visayas,4,4,Full time employment,6,Not at all,Not at all,Nearly every day,Several days,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2150,14/05/2020 00:15,week 3,9,4,1, , , ,Yes,Very difficult,Somewhat willing,Rarely,Frequently,Rarely,Frequently,Frequently,Rarely,Rarely,Frequently,Frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Not at all,Rarely,Rarely,Rarely,10,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.53053745,Male,39,National Capital Region (NCR),4,1,Part time employment,5,Several days,Not at all,Several days,Several days,Rarely,Rarely,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2151,14/05/2020 00:16,week 3,4,5,0, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Not at all,Not at all,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.393258485,Male,54,National Capital Region (NCR),6,2,Full time student,6,Several days,Not at all,Several days,Several days,Always,Always,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2152,14/05/2020 00:16,week 3,2,0,1,No,Not at all,No,Yes,Very easy,Very willing,Always,Frequently,Rarely,Frequently,Always,Always,Always,Frequently,Rarely, ,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,Yes,No,No,No,0.595094379,Female,39,Northern Mindanao,3,0,Full time employment,5,Several days,Several days,Not at all,Not at all,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2153,14/05/2020 00:17,week 3,2,6,1, , , ,Not sure,Very easy,Very willing,Always,Frequently,Always,Always,Always,Sometimes,Rarely,Frequently,Frequently, ,Sometimes,Frequently,Rarely,Rarely,Frequently,Rarely,Not at all,Rarely,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.393258485,Male,54,Calabarzon,3,0,Part time employment,6,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2154,14/05/2020 00:17,week 3,11,5,1, , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.595094379,Female,35,Northern Mindanao,8 or more,4,Retired,4,Several days,Several days,Prefer not to say,Several days,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2155,14/05/2020 00:17,week 3,3,50,1, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Not at all,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.595094379,Female,38,Soccsksargen,4,2,Not working,8,Not at all,Several days,Not at all,Several days,Frequently,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
