RecordNo,endtime,qweek,gender,region,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,age,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex2,WCRV_4,CORE_B2_4,WCRex1,i12_health_21,i12_health_22,i12_health_23,i12_health_24,i12_health_25,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7
2660,25/05/2020 13:32,week 3,Male,Kansai,3,20,1, , , ,No,Very difficult,Very willing,Always,Always,Sometimes,Not at all,Always,Sometimes,Frequently,Always,Not at all, ,Always,Not at all,Always,Always,Frequently,Sometimes,Always,Sometimes,Frequently,Frequently,18,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.668133137,54,2,0,Full time employment,6,More than half the days,Nearly every day,Nearly every day,More than half the days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2661,25/05/2020 13:32,week 3,Male,Chūgoku,3,4,1,No,Frequently,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Always,Frequently,Rarely,Rarely,Sometimes,Sometimes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,0.668133137,53,4,2,Full time employment,4,More than half the days,More than half the days,Nearly every day,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now, , , , , , , , , , , , , 
2662,25/05/2020 13:32,week 3,Female,Kansai,3,2,2, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Rarely,Always,Always,Rarely,Sometimes,Always,Sometimes,Frequently,Always,Always,Always,Always,Always,Always,Not at all,Always,Sometimes,Always,8,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,46,4,2,Part time employment,7,Nearly every day,Several days,Several days,More than half the days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2663,25/05/2020 13:33,week 3,Female,Kantō,0,0,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.901745527,28,1,0,Other,1,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,No confidence at all,Don't know,About the same, , , , , , , , , , , , , 
2664,25/05/2020 13:33,week 3,Male,Kantō,3,5,1, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Not at all,Frequently,Rarely,Frequently,Always,Always,Rarely,Rarely,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Rarely,Not at all,Frequently,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,61,4,1,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2665,25/05/2020 13:33,week 3,Male,Kansai,0,0,1, , , ,Yes,Very easy,Somewhat willing,Frequently,Sometimes,Sometimes,Always,Not at all,Sometimes,Not at all,Not at all,Sometimes,Not at all,Rarely,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Always,Sometimes,Sometimes,Rarely,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,公務,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.703458053,40,4,2,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2666,25/05/2020 13:33,week 3,Female,Kansai,3,0,1, , , ,Yes,Neither easy nor difficult,Somewhat unwilling,Always,Always,Rarely,Always,Always,Frequently,Always,Always,Rarely,Frequently,Frequently,Rarely,Rarely,Always,Always,Always,Not at all,Rarely,Always,Sometimes,8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.901745527,26,3,1,Part time employment,8,Prefer not to say,Several days,More than half the days,Not at all,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2667,25/05/2020 13:33,week 3,Female,Chūbu,3,20,2, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Always,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.901745527,30,4,2,Full time employment,3,Several days,Several days,Several days,Several days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2668,25/05/2020 13:33,week 3,Female,Kantō,1,0,2, , , ,No,Very difficult,Very unwilling,Always,Always,Not at all,Always,Always,Sometimes,Not at all,Not at all, , ,Always,Always,Always,Always,Always,Rarely,Not at all,Not at all,Sometimes,Not at all,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No, , ,No,No,No,No,No,Yes, ,1.66201857,62,2,0,Not working,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,About the same, , , , , , , , , , , , , 
2669,25/05/2020 13:33,week 3,Male,Kansai,4,0,5, , , ,No,Not sure,Very unwilling,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.663986486,32,Prefer not to say,0,Part time employment,0,Not at all,Not at all,Not at all,Not at all,No confidence at all,I am not very scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
2670,25/05/2020 13:33,week 3,Male,Tōhoku,5,4,0, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Not at all,Always,Always,Always,Frequently,Always, , ,Sometimes,Frequently,Frequently,Always,Always,Always,Not at all,Always,Rarely,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.663986486,25,1,0,Full time student,6,Not at all,Several days,Not at all,Not at all,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2671,25/05/2020 13:33,week 3,Male,Kantō,3,5,2, , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.703458053,38,4,2,Full time employment,10,Not at all,Not at all,Not at all,Not at all,A lot of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2672,25/05/2020 13:34,week 3,Male,Kansai,2,0,2, , , ,Yes,Somewhat easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Always,Always,Frequently,Rarely,Rarely,Frequently,Frequently,4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.663986486,34,3,1,Full time employment,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2673,25/05/2020 13:34,week 3,Female,Chūbu,3,20,1, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Frequently,Rarely,Sometimes,Always,Always,Sometimes,Sometimes,Rarely,Frequently,Frequently,Frequently,Always,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,7,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955350999,42,4,1,Full time employment,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2674,25/05/2020 13:34,week 3,Female,Kansai,2,30,2, , , ,Yes,Very difficult,Neither willing nor unwilling,Always,Always,Sometimes,Frequently,Not at all,Sometimes,Always,Rarely,Rarely, ,Frequently,Frequently,Frequently,Frequently,Always,Rarely,Always,Sometimes,Rarely,Always,2,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,53,4,0,Full time employment,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2675,25/05/2020 13:34,week 3,Male,Chūbu,1,0,1, , , ,Yes,Very easy,Very willing,Frequently,Frequently,Not at all,Sometimes,Always,Always,Sometimes,Always, , ,Always,Sometimes,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,70,2,0,Retired,8,Prefer not to say,Prefer not to say,Several days,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2676,25/05/2020 13:34,week 3,Female,Chūgoku,3,3,2, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Always,Always,8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955350999,44,3,1,Full time employment,8,Several days,Several days,Several days,Nearly every day,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Much more happy now, , , , , , , , , , , , , 
2677,25/05/2020 13:34,week 3,Male,Kantō,1,10,1, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes, ,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Rarely,Sometimes,Sometimes,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.703458053,44,2,0,Full time employment,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2678,25/05/2020 13:34,week 3,Male,Kantō,4,20,1, , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.668133137,48,4,2,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2679,25/05/2020 13:34,week 3,Male,Kantō,2,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Sometimes,Frequently, ,Always,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Always,5,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,57,3,0,Full time employment,8,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2680,25/05/2020 13:34,week 3,Male,Chūbu,6,20,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Not at all,Always,Rarely,Rarely,Always,Sometimes,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Rarely,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.703458053,40,7,3,Full time employment,9,Several days,Not at all,Several days,Not at all,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2681,25/05/2020 13:34,week 3,Female,Kantō,2,30,1, , , ,Yes,Not sure,Very willing,Always,Frequently,Not at all,Always,Not at all,Frequently,Always,Frequently, , ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.66201857,71,3,0,Unemployed,6,Several days,Several days,Several days,Several days,Don't know,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2682,25/05/2020 13:34,week 3,Female,Kansai,3,3,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Not at all,Always,Always,Frequently,Always,Frequently,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always,Frequently,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,47,5,3,Full time employment,6,Several days,Several days,Several days,Several days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2683,25/05/2020 13:35,week 3,Female,Hokkaidō,4,0,1, , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Sometimes,Frequently,Frequently,Frequently,Sometimes,Always,Always,Rarely,Frequently,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,54,4,0,Full time employment,9,Prefer not to say,Prefer not to say,More than half the days,More than half the days,No confidence at all,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2684,25/05/2020 13:35,week 3,Male,Kansai,2,5,1, , , ,No,Neither easy nor difficult,Somewhat unwilling,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Frequently,Rarely,Sometimes,Sometimes,Frequently,Not at all,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.703458053,41,3,1,Full time employment,7,Several days,More than half the days,Several days,Several days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2685,25/05/2020 13:35,week 3,Female,Kantō,1,1,1, , , ,No,Somewhat difficult,Somewhat willing,Frequently,Always,Not at all,Always,Rarely,Frequently,Rarely,Always,Rarely, ,Frequently,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Rarely,Rarely,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,45,2,0,Full time employment,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2686,25/05/2020 13:35,week 3,Male,Kansai,3,0,1, , , ,No,Somewhat easy,Somewhat willing,Sometimes,Always,Not at all,Always,Sometimes,Rarely,Frequently,Not at all,Not at all,Sometimes,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Rarely,Sometimes,Sometimes,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,59,4,1,Full time employment,7,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2687,25/05/2020 13:35,week 3,Female,Kantō,2,5,2, , , ,Not sure,Somewhat easy,Somewhat willing,Sometimes,Always,Always,Always,Frequently,Sometimes,Sometimes,Sometimes,Not at all, ,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Frequently,Sometimes,Sometimes,2,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955350999,42,1,0,Full time employment,3,More than half the days,More than half the days,More than half the days,More than half the days,Not very much confidence,I am not at all scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2688,25/05/2020 13:35,week 3,Female,Tōhoku,3,20,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Sometimes,Rarely,Always,Always,Frequently,Always,Always,Sometimes, ,Frequently,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Not at all,Rarely,Sometimes,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,54,3,0,Full time employment,8,Not at all,Not at all,Several days,Not at all,A fair amount of confidence,I am not at all scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
2689,25/05/2020 13:35,week 3,Female,Kantō,0,0,0, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, , , , , , , , , ,1.66201857,66,Prefer not to say,Prefer not to say,Not working,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,Don't know, , , , , , , , , , , , , 
2690,25/05/2020 13:35,week 3,Female,Kansai,3,100,1, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Not at all,Always,Always,Frequently,Frequently,Always,Sometimes, ,Frequently,Frequently,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.907377002,52,4,0,Full time employment,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2691,25/05/2020 13:35,week 3,Male,Kantō,1,5,0, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Rarely,Sometimes,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,66,2,0,Unemployed,8,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2692,25/05/2020 13:36,week 3,Female,Kantō,1,2,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955350999,44,3,1,Unemployed,6,Several days,Several days,Several days,Several days,Don't know,Not applicable - I have already contracted Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
2693,25/05/2020 13:36,week 3,Female,Hokkaidō,2,10,1,Yes,Frequently,No,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Always,Sometimes, ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,0.901745527,32,3,0,Part time employment,3,Several days,Several days,More than half the days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
2694,25/05/2020 13:36,week 3,Male,Kantō,0,5,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Not at all,Always,Always,Sometimes,Always,Always,Frequently,Not at all,Always,Sometimes,Always,Always,Always,Always,Not at all,Not at all,Not at all,Always,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,営業,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.668133137,47,1,2,Full time employment,4,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2695,25/05/2020 13:36,week 3,Male,Kansai,1,10,0, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Frequently,Frequently, ,Rarely,Not at all,Sometimes,Always,Frequently,Sometimes,Not at all,Rarely,Rarely,Sometimes,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,60,2,0,Full time employment,7,Several days,Several days,Several days,Several days,A lot of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2696,25/05/2020 13:36,week 3,Male,Kantō,2,2,1, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Sometimes,Not at all,Always,Always,Always,Rarely,Frequently, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Rarely,Not at all,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.223801879,56,3,0,Not working,7,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am not at all scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2697,25/05/2020 13:36,week 3,Male,Kantō,0,50,1, , , ,Not sure,Very difficult,Very unwilling,Always,Always,Not at all,Always,Always,Not at all,Always,Always,Frequently, ,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Not at all,Not at all,Rarely,Frequently,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.668133137,50,1,0,Full time employment,7,Several days,Several days,Several days,Several days,A lot of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
2698,25/05/2020 13:36,week 3,Male,Chūbu,3,50,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Sometimes,Always,Always,Frequently,Always,Rarely,Sometimes,Rarely,Sometimes,Frequently,Always,Frequently,Always,Always,Not at all,Rarely,Rarely,Rarely,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.668133137,53,4,2,Full time employment,6,Several days,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
2699,25/05/2020 13:36,week 3,Female,Chūbu,0,10,2, , , ,Not sure,Somewhat difficult,Somewhat unwilling,Always,Rarely,Frequently,Always,Always,Frequently,Not at all,Always,Rarely, ,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Rarely,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955350999,44,1,0,Full time employment,4,Several days,Nearly every day,Nearly every day,More than half the days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
