RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,household_children,weight,gender,age,city,household_size,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
3078,24/04/2020 23:16,week 4,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Rarely,Sometimes,Always,8,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.18335529,Female,36,Jiangmen,4,Yes,No,No,No,No,No,No,5, , , , 
3079,24/04/2020 23:16,week 4,1,20,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Always,Sometimes,Rarely,Rarely,Always,Always,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.946685271,Female,26,Cangzhou,8 or more,Yes,No,No,No,No,No,No,4, , , , 
3080,24/04/2020 23:16,week 4,3,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Rarely,Always,Rarely,Sometimes,Sometimes,Rarely,Frequently, ,Frequently,Frequently,Rarely,Frequently,Rarely,Sometimes,Frequently,Always,Frequently,Frequently,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.859053542,Male,25,Fuyang -  Anhui,3,Yes,No,No,No,No,No,No,3, , , , 
3081,24/04/2020 23:18,week 4,4,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,8,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.82917469,Female,25,Tongliao,4,Yes,No,No,No,No,No,No,6, , , , 
3082,24/04/2020 23:20,week 4,1,1,3,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,No,No,No,No,No,Yes,Frequently,Yes,Yes,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Rarely,Always,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Always,Always,Sometimes,Sometimes,Frequently,Rarely,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.94173306,Female,52,Beijing,3,Yes,No,No,No,No,No,No,7, , , , 
3083,24/04/2020 23:21,week 4,5,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Rarely,Frequently,Frequently,Rarely,Always,Sometimes,Frequently,Always,Sometimes,Rarely,Always,Always,Always,Always,7,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.94173306,Female,46,Beijing,5,Yes,No,No,No,No,No,No,9, , , , 
3084,24/04/2020 23:21,week 4,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Frequently,Frequently,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.944616401,Male,34,Yancheng,3,Yes,No,No,No,No,No,No,5, , , , 
3085,24/04/2020 23:22,week 4,4,11,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.859053542,Male,31,Bengbu,4,Yes,No,No,No,No,No,No,3, , , , 
3086,24/04/2020 23:22,week 4,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Frequently,Always,Always,Rarely,Sometimes,Always,Not at all, ,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Rarely,Not at all,Rarely,Rarely,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.219874163,Female,28,Xiamen,3,No,No,No,No,No,Yes,No,6, , , , 
3087,24/04/2020 23:24,week 4,5,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Not at all,Always,Always,Not at all,Sometimes,Always,Always,Sometimes,Not at all,Frequently,Frequently,Always,Always,Frequently,Sometimes,Not at all,Not at all,Always,Rarely,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.078476075,Female,35,Guangzhou,6,Yes,Yes,No,No,No,No,No,7, , , , 
3088,24/04/2020 23:27,week 4,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.856367767,Male,30,Beijing,3,No,Yes,No,No,No,No,No,1, , , , 
3089,24/04/2020 23:27,week 4,0,0,5,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,2,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1,0.890400966,Male,43,Shaoyang,3,Yes,No,No,No,No,No,No,4, , , , 
3090,24/04/2020 23:28,week 4,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Rarely,Always,Sometimes,Always,Not at all,Sometimes,Sometimes,Not at all, ,Sometimes,Not at all,Rarely,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Sometimes,4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.001872226,Male,50,Chengdu,3,Yes,No,No,No,No,No,No,2, , , , 
3091,24/04/2020 23:30,week 4,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.133206615,Male,28,Zhangzhou,3,Yes,No,No,No,No,No,No,6, , , , 
3092,24/04/2020 23:30,week 4,2,5,1,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.104072834,Female,49,Shenyang,4,Yes,No,No,No,No,No,No,8, , , , 
3093,24/04/2020 23:30,week 4,10,30,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Frequently,Rarely,Not at all,Frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Not at all,Frequently,Frequently,3,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1,1.025632542,Male,46,Yantai,2,Yes,No,No,No,No,No,No,6, , , , 
3094,24/04/2020 23:34,week 4,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Frequently,Rarely,Rarely,Sometimes,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes,Frequently,Frequently,Always,Frequently,Frequently,Rarely,Rarely,Rarely,Always,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.863482222,Male,18,Fuzhou -  Jiangxi,4,No,Yes,No,No,No,No,No,1, , , , 
3095,24/04/2020 23:35,week 4,1,2,8,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.009301103,Male,25,Hangzhou,4,Yes,No,No,No,No,No,No,5, , , , 
3096,24/04/2020 23:00,week 4,1,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Not at all,Frequently,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.011511642,Female,29,Haerbin,2,Yes,No,No,No,No,No,No,5, , , , 
3097,24/04/2020 23:20,week 4,5,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Frequently,Frequently,Always,Always,Always,Rarely,Frequently, ,Sometimes,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Rarely,Sometimes,Always,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.031056157,Male,47,Wuxi,7,Yes,No,No,No,No,No,No,2, , , , 
3098,24/04/2020 23:04,week 4,4,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Not at all,Frequently, ,Not at all,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Always,Not at all,Sometimes,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.863482222,Male,20,Shangrao,5,No,No,Yes,No,No,No,No,3, , , , 
3099,24/04/2020 23:01,week 4,1,0,2, ,"No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.865487698,Female,28,Jinzhong,2,No,No,No,No,No,No,Yes,5, , , , 
3100,24/04/2020 23:05,week 4,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Frequently,Always,Frequently,Always,Sometimes,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Always,Frequently,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.97393583,Male,36,Handan,3,Yes,No,No,No,No,No,No,6, , , , 
3101,24/04/2020 23:04,week 4,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.859053542,Male,30,Huangshan,3,Yes,No,No,No,No,No,No,5, , , , 
3102,24/04/2020 23:06,week 4,2,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently, ,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Not at all,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.869949548,Female,21,Wuhu,5,No,No,Yes,No,No,No,No,7, , , , 
3103,24/04/2020 23:09,week 4,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Sometimes,Sometimes,Not at all,Not at all,Frequently,Frequently,Always,Rarely,Rarely,Not at all,Frequently,Sometimes,Not at all,Not at all,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.040628244,Male,42,Shenyang,3,No,Yes,No,No,No,No,No,2, , , , 
3104,24/04/2020 23:16,week 4,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Frequently,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.141694127,Female,25,Shantou,4,No,No,No,No,Yes,No,No,1, , , , 
3105,24/04/2020 23:17,week 4,0,7,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Frequently,Not at all,Always,Always,Rarely,Not at all, ,Not at all,Not at all,Not at all,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Frequently,Rarely,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.032772011,Male,30,Shenzhen,4,No,Yes,No,No,No,No,No,0, , , , 
3106,24/04/2020 23:35,week 4,2,30,5,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.011511642,Female,32,Jinan,3,Yes,No,No,No,No,No,No,8, , , , 
3107,24/04/2020 23:36,week 4,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes, , ,Sometimes,Rarely,Frequently,Frequently,Frequently,Frequently,Rarely,Not at all,Sometimes,Frequently,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.479591519,Male,95,Shanghai,2,No,No,No,Yes,No,No,No,7, , , , 
3108,24/04/2020 23:36,week 4,0,0,0,"No, I have not","Yes, and they tested negative",No,No,No,Yes,No,No,Not sure,Not at all, ,Not sure,No,Very difficult,Very unwilling,Always,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Always,Sometimes,Frequently,3,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,1,1.133206615,Male,34,Guigang,2,Yes,No,No,No,No,No,No,9, , , , 
3109,24/04/2020 23:37,week 4,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Always,Sometimes,Frequently,Sometimes,Not at all,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Frequently,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.040628244,Male,40,Haerbin,3,Yes,No,No,No,No,No,No,6, , , , 
3110,24/04/2020 23:38,week 4,2,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.946685271,Female,27,Yantai,3,Yes,No,No,No,No,No,No,5, , , , 
3111,24/04/2020 23:40,week 4,4,30,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Frequently,Sometimes,Always,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Always,Rarely,Rarely,Rarely,Not at all,Sometimes,Not at all,Not at all,Not at all,Rarely,10,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,2,0.958498758,Female,38,Chongqing,5,Yes,No,No,No,No,No,No,7, , , , 
3112,24/04/2020 23:41,week 4,1,5,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Sometimes,Always,Always,Frequently,Not at all,Always,Sometimes, ,Frequently,Sometimes,Always,Always,Always,Frequently,Frequently,Rarely,Sometimes,Sometimes,1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,1.133206615,Male,28,Beihai,8 or more,Yes,No,No,No,No,No,No,1, , , , 
3113,24/04/2020 23:47,week 4,2,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.860896299,Male,29,Shanghai,3,Yes,Yes,No,No,No,No,No,4, , , , 
3114,24/04/2020 23:50,week 4,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Not at all,Always,Always,Always,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.856367767,Male,26,Beijing,3,Yes,No,No,No,No,No,No,4, , , , 
3115,24/04/2020 23:51,week 4,4,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Sometimes,Always,Always,Frequently,Frequently,Always,Frequently,Sometimes,Always,Frequently,Frequently,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Always,3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.944616401,Male,33,Nantong,5,Yes,No,No,No,No,No,No,3, , , , 
3116,24/04/2020 23:56,week 4,3,5,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Frequently,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.879367957,Male,28,Guiyang,3,Yes,No,No,No,No,No,No,7, , , , 
3117,24/04/2020 23:57,week 4,2,18,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Frequently,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Rarely,Always,Always,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.038778581,Female,49,Huaian,3,Yes,No,No,No,No,No,No,6, , , , 
3118,24/04/2020 23:57,week 4,3,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Rarely,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Always, ,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.946685271,Female,28,Xingtai,5,Yes,No,No,No,No,No,No,7, , , , 
3119,24/04/2020 23:59,week 4,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Rarely,Always,Always,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.860782601,Male,24,Beijing,3,No,Yes,No,No,No,No,No,5, , , , 
3120,24/04/2020 23:59,week 4,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always, ,Always,Always,Rarely,Frequently,Always,Always,Always,Sometimes,Not at all,Rarely,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.863482222,Male,20,Puyang,6,No,No,Yes,No,No,No,No,4, , , , 
3121,24/04/2020 23:59,week 4,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Rarely,Frequently,Not at all,Sometimes, ,Always,Frequently,Always,Always,Always,Sometimes,Always,Rarely,Not at all,Sometimes,4,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.003991925,Male,30,Shenyang,3,Yes,No,No,No,No,No,No,4, , , , 
3122,25/04/2020 00:00,week 4,2,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Rarely,Sometimes,Frequently,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.053966491,Female,35,Nanjing,3,Yes,No,No,No,No,No,No,7, , , , 
3123,25/04/2020 00:00,week 4,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Rarely,Sometimes,Always,Always,Sometimes,Rarely,Always, ,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Rarely,Frequently,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.863482222,Male,22,Xinyu,4,No,No,Yes,No,No,No,No,5, , , , 
3124,25/04/2020 00:02,week 4,0,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Sometimes,Not at all,Always,Not at all,Not at all, ,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Always,Sometimes,Not at all,Frequently,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.014504354,Male,23,Nanjing,3,Yes,No,No,No,No,No,No,5, , , , 
3125,25/04/2020 00:03,week 4,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Not at all, ,Frequently,Not at all,Always,Always,Always,Always,Always,Not at all,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.949486183,Male,23,Shaoxing,3,Yes,No,No,No,No,No,No,6, , , , 
3126,24/04/2020 23:51,week 4,4,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Somewhat willing,Always,Frequently,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.001872226,Male,49,Chongqing,5,Yes,No,No,No,No,No,No,6, , , , 
3127,25/04/2020 00:06,week 4,1,1,2, ,Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Always,Sometimes,Not at all,Rarely,Frequently,Frequently,Always,Rarely, , ,Frequently,Always,Frequently,Sometimes,Not at all,Always,Sometimes,Not at all,Sometimes,Rarely,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.90505063,Female,51,Jiuquan,Don't know,No,No,No,Yes,No,No,No,10, , , , 
